6795,2109,186675450
7717,99,13354288
6562,99,13390046
7292,99,15211998
8029,99,22199678
10128,99,14619526
4945,88,4522190
8686,99,13403362
11745,93,7487100
17368,85,3422404
6066,92,6919070
12941,92,6833446
66711,90,5432757
9625,93,7458274
7434,88,4407957
14815,84,3069031
9346,90,5553762
10070,85,3314883
19546,91,5938893
5441,99,13197062
13544,94,8050875
7744,82,2426807
18646,84,3188478
6556,85,3273563
-1,-1
13043,6
-1,-1
19059,288
-1,-1
74796,8
17574,98
16908,125
5299,50
7456,7
-1,-1
628,1003
6135,463
25595,316
-1,-1
-1,-1
1558,1285
7767,66
-1,-1
-1,-1
2057,132
5125,109
-1,-1
11102,60
1670,481
3845,431
1570,508
-1,-1
4706,171
7166,63
-1,-1
35173,12
2332,258
2327,215
14492,622
-1,-1
7128,126
-1,-1
-1,-1
-1,-1
-1,-1
1554,127
2127,51
-1,-1
-1,-1
-1,-1
9233,157
-1,-1
-1,-1
-1,-1
-1,-1
4513,150
53582,251
4806,122
5728,1161

