26205,1897,91660260
38609,80,2144174
35982,80,2141613
31220,95,8890011
35847,92,6989300
30421,90,5514407
38035,70,808345
37258,86,3970514
45281,81,2194584
39962,78,1679511
38657,76,1431339
20363,90,5437349
11723,99,13395356
24683,87,3991642
41654,70,807007
26720,80,2030794
29771,78,1754572
35240,76,1421916
4772,99,14170273
32990,87,4102752
20060,90,5767847
25727,65,478441
42437,78,1765093
31704,70,773420
-1,-1
-1,-1
-1,-1
27447,212
56800,4
31617,27
15949,113
32626,61
23969,7
-1,-1
6305,505
-1,-1
-1,-1
33048,228
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
32193,66
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
28150,23
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
23524,10
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
23151,582
-1,-1
-1,-1

