5849,2132,209096906
13212,96,10357257
14284,93,7694299
12264,99,13554589
7540,99,23508640
3309,99,28249340
6485,86,3703667
8496,99,13793510
10380,94,8497481
6092,96,9921024
6018,93,7200531
11715,93,7627498
86168,87,3988696
9925,93,7503419
6953,88,4605329
6436,91,6258735
5577,93,7506842
4407,91,6213578
24599,87,4030690
8541,97,11259310
12083,96,9730696
6711,85,3540815
6736,92,7009274
6147,85,3341686
-1,-1
16118,5
-1,-1
12700,408
2135,76
4684,150
31858,48
24554,89
11935,23
3009,22
10097,500
11237,75
3062,1000
1651,1300
-1,-1
3002,50
2393,1114
4135,229
-1,-1
2731,60
-1,-1
-1,-1
-1,-1
-1,-1
9311,138
6948,329
9295,141
-1,-1
-1,-1
8331,50
-1,-1
11868,55
-1,-1
-1,-1
23715,178
4001,188
11595,60
2067,3
-1,-1
-1,-1
-1,-1
-1,-1
10853,25
-1,-1
-1,-1
-1,-1
3782,543
-1,-1
1095,18
4549,68
-1,-1
-1,-1
64403,211
4568,140
9608,840

