385,2277,532180277
1073,99,25972327
917,99,22640742
827,99,35123302
760,99,53551849
885,99,46323774
221,99,14595021
271,99,39211473
509,99,22986605
749,99,16915542
361,99,17156721
2262,99,13657739
2402,99,18514053
206,99,18751994
154,99,15535267
1567,99,13279582
179,99,21045170
1748,99,13063284
1282,99,18148134
1098,99,19791469
306,99,38907533
696,99,13169786
386,99,19561164
175,99,14277746
-1,-1
6840,10
-1,-1
2355,957
-1,-1
10950,68
2491,399
1918,367
1873,93
1852,30
-1,-1
1634,700
2379,1053
340,1850
-1,-1
-1,-1
266,2189
895,712
-1,-1
2477,54
30,1129
123,1462
-1,-1
2,1837
632,780
1161,705
611,805
-1,-1
874,771
-1,-1
1590,146
1968,119
120,1352
547,584
4698,1740
336,884
2260,330
-1,-1
-1,-1
-1,-1
1485,110
922,225
16829,14
-1,-1
87,443
1243,153
2136,748
-1,-1
781,20
1064,260
-1,-1
112,2019
24269,564
-1,-1
432,3107

