19778,1933,103939538
26251,87,4145883
23039,87,4210522
25344,96,9812741
21903,96,10591645
16869,95,8964500
12193,80,2080619
22092,92,6752622
22001,87,4369555
55110,74,1122653
28892,79,1877705
36764,83,2845923
37774,99,13039150
19432,87,4200503
20907,76,1386017
37185,76,1337340
17126,84,3082457
38785,75,1252052
46703,73,1046069
21317,90,5548951
8499,99,13035697
21362,66,511681
46370,75,1224538
22197,77,1500715
-1,-1
-1,-1
-1,-1
11502,411
4666,38
11265,66
14963,110
11730,158
7388,36
12070,3
-1,-1
9951,58
-1,-1
22750,338
-1,-1
-1,-1
10898,266
-1,-1
-1,-1
2137,62
-1,-1
4516,120
-1,-1
-1,-1
11295,88
25657,81
12209,77
-1,-1
5860,88
-1,-1
-1,-1
4942,82
-1,-1
-1,-1
13113,663
-1,-1
4684,188
-1,-1
-1,-1
-1,-1
1821,89
-1,-1
13431,19
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1416,15
-1,-1
-1,-1
5367,100
14657,608
-1,-1
12515,500

