6371,2113,188274950
14872,95,8780861
13876,93,7397195
13390,99,13249807
8859,99,20938977
4093,99,24377494
6030,86,3677253
10044,98,12300907
10517,94,7977456
5946,95,9298824
5686,92,7114384
11131,93,7557066
81659,87,3982116
13793,92,6626064
6583,88,4547924
6017,91,6162926
6078,92,6727596
9872,85,3313635
24984,85,3373630
9517,96,10260767
12672,94,8385403
6528,84,3033871
7737,91,5929460
6656,85,3261334
-1,-1
15983,5
-1,-1
13797,368
2158,70
5551,125
30341,48
23306,89
11189,23
4615,13
8082,500
-1,-1
4531,655
5945,850
-1,-1
2755,50
3082,960
4645,165
-1,-1
2376,60
-1,-1
-1,-1
-1,-1
-1,-1
8576,138
7877,290
8591,141
-1,-1
-1,-1
7584,50
-1,-1
13424,46
-1,-1
-1,-1
22032,178
3590,188
-1,-1
1954,3
-1,-1
-1,-1
-1,-1
-1,-1
12570,21
-1,-1
-1,-1
-1,-1
3495,543
-1,-1
1118,17
4348,68
-1,-1
-1,-1
59188,211
5099,110
10998,650

