20459,1913,107062850
9019,98,12940512
18075,90,5414043
10583,99,13527119
11753,99,16627120
16137,95,8782745
22156,74,1200580
11517,97,10693670
29330,84,3137301
15477,85,3438796
22779,81,2224323
61898,77,1475646
66308,88,4820351
48672,74,1138222
19112,76,1436576
67443,68,612627
39905,70,741364
14635,81,2288005
33943,79,1799021
13345,94,7958947
41384,74,1200264
19857,66,526572
21654,83,2809340
18637,81,2269706
-1,-1
3083,17
-1,-1
14468,334
-1,-1
11773,60
11535,134
14425,132
21656,6
12712,2
-1,-1
-1,-1
-1,-1
3529,1000
-1,-1
-1,-1
12010,152
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
11688,52
-1,-1
1715,583
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
11158,751
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
16065,13
-1,-1
-1,-1
-1,-1
8160,153
-1,-1
1867,12
-1,-1
-1,-1
-1,-1
44186,248
-1,-1
6745,939

