421,2277,500576340
1063,99,25371003
934,99,22018134
854,99,32961776
809,99,50457395
982,99,43035664
976,99,13074690
307,99,37021400
531,99,21916930
793,99,16329247
394,99,16598360
2423,99,13477073
4107,99,15252104
258,99,17433011
585,99,13338985
1483,99,13262822
233,99,19341239
1648,99,13062685
2472,99,15168879
1219,99,18909790
319,99,36738185
669,99,13157311
365,99,19503535
975,99,13146122
-1,-1
6727,10
-1,-1
2190,957
-1,-1
10314,68
2363,399
1810,367
1720,93
1699,30
-1,-1
1480,700
2118,1053
326,1850
-1,-1
-1,-1
434,1860
837,712
-1,-1
2138,54
29,1126
110,1462
-1,-1
1,1837
589,780
1086,705
572,805
-1,-1
831,771
-1,-1
-1,-1
2096,110
117,1352
497,584
4364,1740
325,854
2067,330
-1,-1
-1,-1
-1,-1
-1,-1
873,225
15534,14
-1,-1
-1,-1
1205,127
1993,745
-1,-1
741,20
1000,260
-1,-1
100,2019
31862,454
-1,-1
437,3030

