19768,1933,103939538
26241,87,4145883
23029,87,4210522
25334,96,9812741
21887,96,10591645
16860,95,8964500
12184,80,2080619
22081,92,6752622
21994,87,4369555
55087,74,1122653
28871,79,1877705
36743,83,2845923
37752,99,13039150
19419,87,4200503
20893,76,1386017
37164,76,1337340
17113,84,3082457
38757,75,1252052
46680,73,1046069
21303,90,5548951
8494,99,13035697
21351,66,511681
46356,75,1224538
22179,77,1500715
-1,-1
-1,-1
-1,-1
11497,411
4664,38
11264,66
14963,110
11724,158
7388,36
12068,3
-1,-1
9938,58
-1,-1
22733,338
-1,-1
-1,-1
10891,266
-1,-1
-1,-1
2136,62
-1,-1
4515,120
-1,-1
-1,-1
11284,88
25643,81
12201,77
-1,-1
5859,88
-1,-1
-1,-1
4942,82
-1,-1
-1,-1
13099,663
-1,-1
4681,188
-1,-1
-1,-1
-1,-1
1816,89
-1,-1
13424,19
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1416,15
-1,-1
-1,-1
5362,100
14643,608
-1,-1
12506,500

