1617,2237,419708042
1653,99,22210874
788,99,23462402
939,99,32334399
827,99,51000765
718,99,49401091
516,99,13344074
889,99,27552626
1725,99,15389958
3260,99,13084033
4091,95,8772429
8386,95,9250492
9175,99,13541263
6524,94,8388693
2231,92,7026379
3684,94,8654470
902,99,13870130
3528,92,6603571
4153,99,14177979
500,99,23937752
1041,99,23283734
2962,91,5956896
855,99,15345195
1212,99,13118837
-1,-1
11540,7
-1,-1
1493,1133
100589,1
13532,55
964,575
1866,368
1931,91
1140,43
-1,-1
1278,772
1655,1270
819,1506
39,248
2086,65
2006,1137
1720,448
-1,-1
-1,-1
-1,-1
239,1187
417,565
-1,-1
4107,260
8808,262
4260,258
-1,-1
2332,401
3282,260
1548,145
9946,55
974,493
3056,155
1607,3010
115,1220
3538,237
2638,2
-1,-1
-1,-1
-1,-1
-1,-1
688,67
-1,-1
206,232
1459,104
7513,202
-1,-1
-1,-1
4296,64
-1,-1
1407,500
6361,656
-1,-1
1901,1890

