9183,2040,132484782
17655,90,5798599
14916,90,5797496
21396,96,10094110
13701,99,13803438
7798,99,14484465
5924,85,3307601
14062,94,8668804
12787,91,6021516
6786,91,6323994
7450,90,5683673
10181,92,7060975
73821,85,3366295
11736,90,5716449
8550,85,3406189
5563,90,5499723
11646,86,3813046
10677,83,2678810
22404,84,3066211
15406,91,6464167
24556,83,2890057
9773,75,1294227
9293,88,4499171
7901,83,2745766
-1,-1
15906,5
-1,-1
15052,300
1814,59
6765,93
28506,43
21243,82
10839,19
8307,4
6381,500
8489,17
-1,-1
16028,367
8839,1
2523,30
5688,494
6650,32
-1,-1
2140,38
14092,1
6168,20
-1,-1
-1,-1
6394,138
5752,290
6398,141
-1,-1
7849,7
14698,1
-1,-1
21429,16
8548,3
7123,34
16160,178
3798,70
11988,5
1673,2
11222,2
-1,-1
-1,-1
11416,16
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
2600,9
8891,1
5347,2
12953,3
38598,190
4345,76
12603,200

