14107,1978,133685102
7259,99,13134685
12693,92,7083225
12151,99,13200246
11809,99,15959724
8739,99,14112498
13122,79,1972204
28204,88,4491911
22699,86,3747469
10302,88,4539036
23445,80,2091780
47928,80,2011009
105133,80,1987378
12767,90,5611457
29252,72,962851
30635,76,1464650
14477,85,3319899
23447,78,1668107
10979,98,12324120
30377,85,3404470
3375,99,15487626
14657,70,751146
13301,86,3598239
26388,70,761372
-1,-1
-1,-1
-1,-1
9332,443
13894,13
3288,166
11430,130
14993,124
16408,10
-1,-1
-1,-1
-1,-1
-1,-1
26184,200
-1,-1
-1,-1
-1,-1
16792,1
-1,-1
14202,1
3551,62
-1,-1
-1,-1
16613,35
16939,9
28007,33
16423,12
-1,-1
-1,-1
16883,1
5346,25
975,135
15408,1
-1,-1
-1,-1
9312,1
-1,-1
-1,-1
-1,-1
-1,-1
6879,6
4541,10
-1,-1
1542,27
1158,3
-1,-1
-1,-1
-1,-1
10268,2
9102,2
-1,-1
-1,-1
62635,110
886,430
19886,1

