9897,2030,163260561
9251,97,11463304
15643,90,5596953
5787,99,15247484
5697,99,23233205
4967,99,19230915
8715,82,2470244
4955,99,14976910
13466,91,5903992
36939,76,1471123
11233,87,4185425
25845,85,3379820
140283,70,769773
4585,96,9895849
5158,88,4578734
15661,82,2458440
11455,86,3949363
14070,81,2231491
13679,92,6913175
5420,98,12174661
13335,91,6353590
9242,77,1479433
28056,82,2560475
8272,83,2736202
-1,-1
15899,5
-1,-1
13059,339
-1,-1
44449,15
9429,149
9436,167
18220,7
17995,1
-1,-1
4644,245
1020,1358
10465,558
2749,5
6105,3
3259,801
2295,269
-1,-1
1670,53
8562,10
3999,87
-1,-1
4443,91
3706,241
372,1009
4439,212
-1,-1
3203,224
9139,6
8395,4
10397,42
12106,1
13316,4
3141,1940
3538,100
5463,116
-1,-1
-1,-1
-1,-1
4459,8
7527,24
-1,-1
-1,-1
1831,13
9618,6
-1,-1
14730,1
-1,-1
-1,-1
7044,50
73342,39
2554,164
4295,1126

