3501,2183,323536408
1992,99,21840162
1215,99,21634742
2163,99,24632073
1676,99,42120456
1836,99,36551036
3109,92,6534110
2154,99,21872050
4233,99,13273372
8880,91,6402201
2321,99,13101210
11477,93,7826498
56167,94,8087458
3503,99,13269394
4130,90,5487265
8844,88,4790297
1508,99,13371609
4662,91,5927611
21876,90,5517061
2076,99,17333139
3907,99,16291061
9076,80,2110930
4157,96,10149290
4123,90,5413383
-1,-1
1828,25
-1,-1
8252,542
113835,1
6216,122
20986,84
5406,252
3706,67
4121,16
12576,500
-1,-1
1929,1307
8412,759
-1,-1
2948,52
819,1629
517,1030
-1,-1
332,341
-1,-1
2346,378
-1,-1
-1,-1
8401,156
7432,317
8450,159
-1,-1
-1,-1
1346,763
-1,-1
12101,54
-1,-1
2533,214
2100,2828
663,716
11422,63
2670,2
413,96
-1,-1
-1,-1
2568,67
5592,36
-1,-1
-1,-1
1927,100
1828,863
-1,-1
-1,-1
-1,-1
-1,-1
2124,404
45572,350
6930,81
2058,1942

