18717,1908,105938194
9973,96,10490538
10384,94,8146812
24672,95,8980262
9942,99,17022977
5788,99,17242423
16793,76,1418218
19614,91,6469653
15792,89,5171698
38850,76,1375797
22750,80,2061222
33531,83,2738372
109018,77,1523492
24333,85,3319524
13373,80,1986497
49504,71,837061
18738,82,2443223
25925,77,1478580
48187,70,777016
14020,92,6999059
31834,78,1750549
18706,66,496770
53342,70,776089
15654,82,2432362
-1,-1
14960,5
-1,-1
20121,227
-1,-1
84238,5
18849,74
11901,142
19805,6
-1,-1
-1,-1
-1,-1
-1,-1
2199,1079
-1,-1
-1,-1
7466,320
7311,20
-1,-1
7475,3
10498,3
5557,32
-1,-1
28317,10
8566,85
25092,22
8139,96
-1,-1
1855,399
9562,3
5319,18
30794,2
7622,4
13119,3
14919,227
-1,-1
5129,118
2401,1
1037,22
-1,-1
-1,-1
13272,12
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
7055,2
4466,35
-1,-1
-1,-1
55093,84
-1,-1
11691,253

