14898,2004,127965885
12737,96,10320166
18409,90,5777300
10537,99,13846161
15982,99,14647528
18383,95,8857614
13118,80,2072857
21019,93,7540520
25351,87,4015699
29695,80,2150026
17518,85,3267674
73512,76,1336477
97455,84,3159214
28916,85,3388635
12130,84,3039063
49066,73,1066072
17029,85,3397025
15042,82,2434966
3070,99,14946734
18010,92,6837502
14384,93,7609853
11674,77,1486147
15208,86,3656267
7115,84,3112385
-1,-1
4783,13
-1,-1
29683,183
129386,1
96903,5
30776,49
18565,116
17441,12
-1,-1
-1,-1
-1,-1
-1,-1
5204,905
-1,-1
-1,-1
9598,395
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
19616,141
-1,-1
-1,-1
-1,-1
1275,759
-1,-1
33724,14
-1,-1
-1,-1
23810,138
-1,-1
3640,248
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
9330,27
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
66445,188
-1,-1
4334,1361

